Unnamed: 0,zipcode,communications,communications lat,communications long,energy,energy lat,energy long,food_water_shelter,food_water_shelter lat,food_water_shelter long,hazmat,hazmat lat,hazmat long,health_medical,health_medical lat,health_medical long,safe_sec,safe_sec lat,safe_sec long,transportation,transportation lat,transportation long,population,zillowprice,total lifelines
102,02188,4,42.20033,-70.94428,3,42.216551,-70.964515,20,42.21737176,-70.96502982,0,0.0,0.0,20,42.19939,-70.94479,2,42.20101859,-70.95065888,7,42.21779,-70.94995,14608.0,419229.0,56
103,02189,2,42.201941,-70.944786,4,42.2013775,-70.9449708,35,42.2000699,-70.93923000000002,2,42.1895929,-70.93286390000002,22,42.19460678,-70.94338989,4,42.191711,-70.930269,3,42.21705485,-70.93455728,14559.0,395423.0,72
104,02190,3,42.17258,-70.95463000000002,9,42.18176,-70.97140999999998,26,42.17414,-70.951767,1,42.19111072,-71.06595209999998,38,42.1717,-70.9531,8,42.17373893,-70.95242076,2,42.1744886,-70.9498483,16119.0,432375.0,87
105,02191,0,0.0,0.0,4,42.2424632,-70.9599115,13,42.24166,-70.94461,0,0.0,0.0,3,42.24306770000001,-70.9531594,2,42.24227,-70.94348000000002,4,42.23156,-70.942032,8457.0,392323.0,26
106,02199,4,42.34659657,-71.08032323,0,0.0,0.0,25,42.3493082,-71.0796434,0,0.0,0.0,4,42.34751,-71.08135,2,42.347331,-71.081885,4,42.347317,-71.081901,1146.0,3863991.0,39
107,02201,1,42.360328,-71.057988,0,0.0,0.0,3,42.35784,-71.05834,0,0.0,0.0,0,0.0,0.0,3,42.35916,-71.05749,0,0.0,0.0,,,7
108,02203,1,42.3613075,-71.0595836,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,42.3601303,-71.0601578,1,42.362238,-71.057632,,,4
109,02205,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,42.3502516,-71.0605958,1,42.34861,-71.05534,2,42.35036,-71.05358000000003,,,4
110,02210,8,42.35123166,-71.04448471,0,0.0,0.0,71,42.34911682,-71.0403496,0,0.0,0.0,7,42.348032,-71.04122199999998,8,42.3538265,-71.04613545,10,42.3545002,-71.0515934,2090.0,1086141.0,104
111,02211,0,0.0,0.0,0,0.0,0.0,1,42.35376303,-71.0483925,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,,1
112,02215,12,42.3486451,-71.09703490000003,4,42.3432385,-71.10213405,74,42.344685,-71.102731,0,0.0,0.0,50,42.338966,-71.106224,25,42.35210083,-71.110726,15,42.34266029999999,-71.0991875,26125.0,658084.0,180
113,02222,1,42.3644836,-71.063251,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,,1
114,02238,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,42.371975,-71.122989,4,42.37315,-71.08105,3,42.37314,-71.08157,,,9
115,02269,0,0.0,0.0,1,42.26711,-71.01515,2,42.26385,-71.02208,0,0.0,0.0,1,42.2427241,-70.9957248,0,0.0,0.0,0,0.0,0.0,,,4
116,02322,1,42.1314697,-71.04048159999998,2,42.12350597,-71.03468109,6,42.13666993,-71.04039989,0,0.0,0.0,5,42.13122,-71.06078000000002,1,42.13511,-71.03984,2,42.14556320000001,-71.056837,4356.0,363572.0,17
117,02343,1,42.15378,-71.00885,3,42.14272,-71.00896999999998,16,42.15553284,-71.02171326,1,42.1687269,-71.0181801,4,42.12822,-71.00950999999998,3,42.151406,-70.99889300000002,0,0.0,0.0,10745.0,355813.0,28
118,02351,3,42.1128032,-70.9273244,3,42.10232,-70.94996,30,42.09334717,-70.96869854,0,0.0,0.0,11,42.1006584,-70.947998,5,42.1078199,-70.94325,0,0.0,0.0,16029.0,382758.0,52
119,02368,6,42.16712808,-71.04401714,8,42.16218,-71.06231,43,42.16335678,-71.05810547,0,0.0,0.0,22,42.15943527,-71.06098175,2,42.16099439999999,-71.06065759999998,7,42.198562,-71.066819,32158.0,382027.0,88
120,02370,4,42.12979,-70.91504990000001,3,42.119998,-70.891324,30,42.16094692,-70.90194257,0,0.0,0.0,8,42.16105,-70.90284,4,42.115684,-70.939984,1,42.13934,-70.90474,17489.0,348461.0,50
121,02420,10,42.44781876,-71.22893524,2,42.4348754,-71.2101057,30,42.4590648,-71.23818990000002,0,0.0,0.0,44,42.4485382,-71.1993369,14,42.4463368,-71.22323399999998,5,42.45638657,-71.21643829,14052.0,1009033.0,105
